DS,What,chr,GO,NS,enrichment,name,ratio_in_study,ratio_in_pop,p_uncorrected,depth,study_count,p_fdr_bh,study_items
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr13,GO:0006807,BP,e,nitrogen compound metabolic process,97/213,110/288,1.42E-05,2,97,0.0312,"ALG11, ALG5, ARGLU1, ATP12A, ATP7B, B3GALTL, BIVM-ERCC5, BRCA2, CARS2, CDC16, CDK8, CDX2, CLN5, COG3, COL4A2, CPB2, DCLK1, DCT, DIS3, DNAJC3, ELF1, ERCC5, ESD, EXOSC8, FBXL3, FLT1, FLT3, FOXO1, GAS6, GGACT, GPC5, GPC6, GRK1, GSX1, GTF2F2, GTF3A, HMGB1, HNRNPA1L2, IFT88, INTS6, KATNAL1, KLF12, KLF5, LATS2, LECT1, LIG4, LMO7, MBNL2, MED4, METTL21C, MIPEP, MPHOSPH8, MTMR6, MYCBP2, NAA16, NEK3, NEK5, NUDT15, NUFIP1, PAN3, PARP4, PCCA, PDX1, PHF11, POLR1D, PSPC1, RASL11A, RB1, RBM26, RFC3, RNASEH2B, RNF6, RPL21, SAP18, SETDB2, SLC25A15, SMAD9, SOHLH2, STK24, SUCLA2, TDRD3, TGDS, TPP2, TRIM13, TSC22D1, TUBA3C, UCHL3, UFM1, UGGT2, URAD, USP12, USPL1, UTP14C, VPS36, WBP4, ZIC2, ZMYM2"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr13,GO:0008152,BP,e,metabolic process             ,109/213,126/288,2.19E-05,1,109,0.0312,"ALG11, ALG5, ALOX5AP, ARGLU1, ATP12A, ATP7B, B3GALTL, BIVM-ERCC5, BRCA2, CARS2, CDC16, CDK8, CDX2, CLN5, CLYBL, COG3, COG6, COL4A1, COL4A2, CPB2, CRYL1, DCLK1, DCT, DHRS12, DIS3, DNAJC3, ELF1, ERCC5, ESD, EXOSC8, FBXL3, FLT1, FLT3, FOXO1, GAS6, GGACT, GPC5, GPC6, GRK1, GSX1, GTF2F2, GTF3A, HMGB1, HNRNPA1L2, IFT88, INTS6, IRG1, IRS2, KATNAL1, KLF12, KLF5, LATS2, LECT1, LIG4, LMO7, MBNL2, MED4, METTL21C, MIPEP, MPHOSPH8, MTIF3, MTMR6, MYCBP2, NAA16, NEK3, NEK5, NUDT15, NUFIP1, NUPL1, PAN3, PARP4, PCCA, PDX1, PHF11, POLR1D, PSPC1, RASL11A, RB1, RBM26, RFC3, RNASEH2B, RNF6, RPL21, SAP18, SETDB2, SLC25A15, SMAD9, SOHLH2, STK24, SUCLA2, SUPT20H, TDRD3, TGDS, TNFSF13B, TPP2, TRIM13, TSC22D1, TUBA3C, UCHL3, UFM1, UGGT2, URAD, USP12, USPL1, UTP14C, VPS36, WBP4, ZIC2, ZMYM2"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr13,GO:0043170,BP,e,macromolecule metabolic process,90/213,102/288,3.75E-05,3,90,0.0312,"ALG11, ALG5, ARGLU1, ATP7B, B3GALTL, BIVM-ERCC5, BRCA2, CARS2, CDC16, CDK8, CDX2, CLN5, COG3, COL4A2, CPB2, DCLK1, DIS3, DNAJC3, ELF1, ERCC5, ESD, EXOSC8, FBXL3, FLT1, FLT3, FOXO1, GAS6, GPC5, GPC6, GRK1, GSX1, GTF2F2, GTF3A, HMGB1, HNRNPA1L2, IFT88, INTS6, KATNAL1, KLF12, KLF5, LATS2, LECT1, LIG4, LMO7, MBNL2, MED4, METTL21C, MIPEP, MPHOSPH8, MTMR6, MYCBP2, NAA16, NEK3, NEK5, NUFIP1, PAN3, PARP4, PDX1, PHF11, POLR1D, PSPC1, RASL11A, RB1, RBM26, RFC3, RNASEH2B, RNF6, RPL21, SAP18, SETDB2, SMAD9, SOHLH2, STK24, TDRD3, TGDS, TNFSF13B, TPP2, TRIM13, TSC22D1, TUBA3C, UCHL3, UFM1, UGGT2, USP12, USPL1, UTP14C, VPS36, WBP4, ZIC2, ZMYM2"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr13,GO:0071704,BP,e,organic substance metabolic process,103/213,119/288,3.76E-05,2,103,0.0312,"ALG11, ALG5, ALOX5AP, ARGLU1, ATP12A, ATP7B, B3GALTL, BIVM-ERCC5, BRCA2, CARS2, CDC16, CDK8, CDX2, CLN5, COG3, COL4A2, CPB2, CRYL1, DCLK1, DCT, DIS3, DNAJC3, ELF1, ERCC5, ESD, EXOSC8, FBXL3, FLT1, FLT3, FOXO1, GAS6, GGACT, GPC5, GPC6, GRK1, GSX1, GTF2F2, GTF3A, HMGB1, HNRNPA1L2, IFT88, INTS6, IRG1, IRS2, KATNAL1, KLF12, KLF5, LATS2, LECT1, LIG4, LMO7, MBNL2, MED4, METTL21C, MIPEP, MPHOSPH8, MTMR6, MYCBP2, NAA16, NEK3, NEK5, NUDT15, NUFIP1, NUPL1, PAN3, PARP4, PCCA, PDX1, PHF11, POLR1D, PSPC1, RASL11A, RB1, RBM26, RFC3, RNASEH2B, RNF6, RPL21, SAP18, SETDB2, SLC25A15, SMAD9, SOHLH2, STK24, SUCLA2, TDRD3, TGDS, TNFSF13B, TPP2, TRIM13, TSC22D1, TUBA3C, UCHL3, UFM1, UGGT2, URAD, USP12, USPL1, UTP14C, VPS36, WBP4, ZIC2, ZMYM2"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr13,GO:0044238,BP,e,primary metabolic process     ,101/213,117/288,6.60E-05,2,101,0.0439,"ALG11, ALG5, ALOX5AP, ARGLU1, ATP12A, ATP7B, B3GALTL, BIVM-ERCC5, BRCA2, CARS2, CDC16, CDK8, CDX2, CLN5, COG3, COL4A2, CPB2, CRYL1, DCLK1, DCT, DIS3, DNAJC3, ELF1, ERCC5, ESD, EXOSC8, FBXL3, FLT1, FLT3, FOXO1, GAS6, GPC5, GPC6, GRK1, GSX1, GTF2F2, GTF3A, HMGB1, HNRNPA1L2, IFT88, INTS6, IRG1, IRS2, KATNAL1, KLF12, KLF5, LATS2, LECT1, LIG4, LMO7, MBNL2, MED4, METTL21C, MIPEP, MPHOSPH8, MTMR6, MYCBP2, NAA16, NEK3, NEK5, NUDT15, NUFIP1, NUPL1, PAN3, PARP4, PCCA, PDX1, PHF11, POLR1D, PSPC1, RASL11A, RB1, RBM26, RFC3, RNASEH2B, RNF6, RPL21, SAP18, SETDB2, SLC25A15, SMAD9, SOHLH2, STK24, SUCLA2, TDRD3, TGDS, TPP2, TRIM13, TSC22D1, TUBA3C, UCHL3, UFM1, UGGT2, URAD, USP12, USPL1, UTP14C, VPS36, WBP4, ZIC2, ZMYM2"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr14,GO:0008152,BP,e,metabolic process             ,225/447,271/596,4.05E-05,1,225,0.0467,"ABHD4, ACIN1, ACYP1, ADCY4, ADSSL1, AJUBA, AK7, AKAP5, AKT1, ALKBH1, AMN, ANG, APEX1, AREL1, ARG2, ARID4A, ASB2, ASPG, ATG14, ATG2B, ATP5S, ATXN3, BATF, BAZ1A, BCL11B, BRF1, BRMS1L, C14orf1, C14orf166, CALM1, CCNB1IP1, CCNK, CDC42BPB, CDKL1, CDKN3, CEBPE, CHD8, CHURC1, CHURC1-FNTB, CPNE6, CPSF2, CTSG, CYP46A1, DAD1, DCAF11, DCAF5, DDHD1, DDX24, DEGS2, DHRS1, DHRS7, DICER1, DIO3, DLST, DTD2, EGLN3, EIF2B2, EIF2S1, ELMSAN1, ERH, ERO1L, ESR2, EXD2, EXOC5, FANCM, FBXO33, FKBP3, FNTB, FOS, FOXA1, FOXG1, FOXN3, FUT8, G2E3, GALC, GCH1, GEMIN2, GMFB, GMPR2, GNG2, GNPNAT1, GPHN, GSTZ1, GTF2A1, HECTD1, HHIPL1, HIF1A, HNRNPC, HOMEZ, HSP90AA1, IRF9, ISCA2, JAG2, JDP2, JKAMP, KIAA0391, L2HGDH, L3HYPDH, LGMN, LRR1, MAP3K9, MAP4K5, MAX, MBIP, MED6, METTL17, METTL3, MGAT2, MLH3, MMP14, MNAT1, MOK, MRPL52, MTHFD1, NDUFB1, NEDD8, NEDD8-MDP1, NEK9, NFATC4, NKX2-1, NPC2, NRL, NYNRIN, OSGEP, OTUB2, OXA1L, PABPN1, PAPOLA, PARP2, PAX9, PCK2, PELI2, PIGH, PLD4, PNN, PNP, POLE2, POMT2, PPM1A, PPP1R3E, PPP2R5C, PRKCH, PRMT5, PROX2, PRPF39, PSEN1, PSMA3, PSMA6, PSMB5, PSMC6, PSME1, PSME2, PTGDR, PTGR2, PTPN21, PYGL, RABGGTA, RAD51B, RBM23, RBM25, RCOR1, RDH11, RDH12, REC8, RIPK3, RNASE2, RNASE3, RNASE4, RNASE6, RNF31, RP11-176H8.1, RP11-47I22.4, RPL36AL, RPS29, RPS6KA5, RPS6KL1, SALL2, SDR39U1, SEC23A, SETD3, SGPP1, SIX1, SLC7A7, SLC7A8, SLIRP, SNAPC1, SNW1, SOCS4, SPTB, SPTLC2, SPTSSA, SRP54, SRSF5, STYX, SUPT16H, TBPL2, TDP1, TDRD9, TEP1, TGM1, THTPA, TIMM9, TINF2, TM9SF1, TMED10, TMX1, TSSK4, TTC5, TTLL5, VCPKMT, VIPAS39, VRK1, WARS, WDHD1, XRCC3, YLPM1, YY1, ZBTB1, ZBTB25, ZDHHC22, ZFHX2, ZFP36L1, ZFYVE26, ZNF219, ZNF410"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr14,GO:0009987,BP,e,cellular process              ,326/447,407/596,4.28E-05,1,326,0.0467,"ACIN1, ACTR10, ACYP1, ADCY4, ADSSL1, AJUBA, AK7, AKAP5, AKAP6, AKT1, ALKBH1, AMN, ANG, AP1G2, AP4S1, AP5M1, APEX1, APOPT1, AREL1, ARF6, ARG2, ARHGAP5, ARID4A, ASB2, ASPG, ATG14, ATG2B, ATL1, ATP5S, ATP6V1D, ATXN3, BAG5, BATF, BAZ1A, BCL11B, BCL2L2, BCL2L2-PABPN1, BRF1, BRMS1L, C14orf166, CALM1, CCDC176, CCDC88C, CCNB1IP1, CCNK, CDC42BPB, CDH24, CDKL1, CDKN3, CEBPE, CFL2, CHD8, CHMP4A, CHURC1, CHURC1-FNTB, CIDEB, CNIH1, CPNE6, CPSF2, CRIP1, CRIP2, CTSG, CYP46A1, DAAM1, DACT1, DAD1, DDHD1, DDX24, DEGS2, DICER1, DIO3, DLST, DNAAF2, DTD2, DYNC1H1, EDDM3B, EGLN3, EIF2B2, EIF2S1, ELMSAN1, ERH, ERO1L, ESR2, EVL, EXD2, EXOC5, FANCM, FITM1, FKBP3, FLRT2, FLVCR2, FNTB, FOS, FOXA1, FOXG1, FOXN3, FUT8, G2E3, GALC, GCH1, GEMIN2, GLRX5, GMFB, GMPR2, GNG2, GNPNAT1, GOLGA5, GPHN, GPR132, GPR135, GPR65, GSTZ1, GTF2A1, HAUS4, HECTD1, HIF1A, HNRNPC, HOMEZ, HSP90AA1, HSPA2, IFT43, IL25, INF2, IPO4, IRF9, ISCA2, JAG2, JDP2, JKAMP, JPH4, KCNK10, KIAA0391, KIAA0586, KIF26A, KLC1, KTN1, L2HGDH, LGMN, LTB4R, LTB4R2, LTBP2, MAP3K9, MAP4K5, MAX, MBIP, MED6, METTL17, METTL3, MIS18BP1, MLH3, MMP14, MNAT1, MOK, MPP5, MRPL52, MTA1, MTHFD1, NDRG2, NDUFB1, NEDD8, NEDD8-MDP1, NEK9, NEMF, NFATC4, NFKBIA, NID2, NIN, NKX2-1, NPC2, NRL, NRXN3, NUBPL, NUMB, NYNRIN, OR11G2, OR11H6, OR4K1, OR4K13, OR4K14, OR4K17, OR4K2, OR4K5, OR4L1, OR4N2, OR4N5, OR4Q3, OR6J1, OR6S1, OSGEP, OTUB2, OXA1L, PABPN1, PACS2, PAPOLA, PARP2, PAX9, PCK2, PELI2, PGF, PIGH, PLD4, PLEK2, PNMA1, PNN, PNP, POLE2, PPM1A, PPP1R13B, PPP1R3E, PPP2R5C, PPP2R5E, PRKCH, PRMT5, PROX2, PRPF39, PSEN1, PSMA3, PSMA6, PSMB5, PSMC6, PSME1, PSME2, PTGDR, PTGER2, PTGR2, PTPN21, PYGL, RAB2B, RABGGTA, RAD51B, RBM23, RBM25, RCOR1, RDH11, RDH12, REC8, REM2, RIN3, RIPK3, RNASE10, RNASE2, RNASE3, RNASE4, RNASE6, RNF31, RP11-1012A1.4, RP11-176H8.1, RP11-47I22.4, RP11-73M18.2, RPGRIP1, RPL36AL, RPS29, RPS6KA5, RPS6KL1, SALL2, SCFD1, SDR39U1, SEC23A, SEL1L, SERPINA1, SETD3, SGPP1, SIPA1L1, SIVA1, SIX1, SIX4, SLC24A4, SLC25A47, SLC39A2, SLC39A9, SLC7A7, SLC7A8, SLIRP, SNAPC1, SNW1, SNX6, SOCS4, SOS2, SPTB, SPTLC2, SPTSSA, SRP54, SRSF5, STON2, STYX, SUPT16H, SYNE2, SYNE3, TBPL2, TDP1, TDRD9, TEP1, TGFB3, TGM1, THTPA, TIMM9, TINF2, TM9SF1, TMED10, TMX1, TOMM20L, TRAF3, TSHR, TSSK4, TTC5, TTC8, TTLL5, TXNDC16, UNC79, VCPKMT, VIPAS39, VRK1, VTI1B, WARS, WDHD1, XRCC3, YLPM1, YY1, ZBTB1, ZBTB25, ZDHHC22, ZFHX2, ZFP36L1, ZFYVE26, ZNF219, ZNF410"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr14,GO:0044238,BP,e,primary metabolic process     ,205/447,245/596,4.91E-05,2,205,0.0467,"ABHD4, ACIN1, ADCY4, ADSSL1, AJUBA, AK7, AKT1, ALKBH1, AMN, ANG, APEX1, AREL1, ARG2, ARID4A, ASB2, ASPG, ATP5S, ATXN3, BATF, BAZ1A, BCL11B, BRF1, BRMS1L, C14orf1, C14orf166, CALM1, CCNB1IP1, CCNK, CDC42BPB, CDKL1, CDKN3, CEBPE, CHD8, CHURC1, CHURC1-FNTB, CPNE6, CPSF2, CTSG, CYP46A1, DAD1, DCAF11, DCAF5, DDHD1, DDX24, DEGS2, DICER1, DLST, DTD2, EGLN3, EIF2B2, EIF2S1, ELMSAN1, ERH, ERO1L, ESR2, EXD2, EXOC5, FANCM, FBXO33, FKBP3, FNTB, FOS, FOXG1, FOXN3, FUT8, G2E3, GALC, GEMIN2, GMFB, GMPR2, GNPNAT1, GSTZ1, GTF2A1, HECTD1, HHIPL1, HIF1A, HNRNPC, HOMEZ, IRF9, JAG2, JDP2, JKAMP, KIAA0391, L2HGDH, LGMN, LRR1, MAP3K9, MAP4K5, MAX, MBIP, MED6, METTL17, METTL3, MGAT2, MLH3, MMP14, MNAT1, MOK, MRPL52, MTHFD1, NEDD8, NEDD8-MDP1, NEK9, NFATC4, NKX2-1, NPC2, NRL, NYNRIN, OSGEP, OTUB2, PABPN1, PAPOLA, PARP2, PAX9, PCK2, PELI2, PIGH, PLD4, PNN, PNP, POLE2, POMT2, PPM1A, PPP1R3E, PPP2R5C, PRKCH, PRMT5, PROX2, PRPF39, PSEN1, PSMA3, PSMA6, PSMB5, PSMC6, PSME1, PSME2, PTGDR, PTGR2, PTPN21, PYGL, RABGGTA, RAD51B, RBM23, RBM25, RCOR1, RDH11, RDH12, REC8, RIPK3, RNASE2, RNASE3, RNASE4, RNASE6, RNF31, RP11-176H8.1, RP11-47I22.4, RPL36AL, RPS29, RPS6KA5, RPS6KL1, SALL2, SEC23A, SETD3, SGPP1, SIX1, SLC7A7, SLC7A8, SLIRP, SNAPC1, SNW1, SOCS4, SPTLC2, SPTSSA, SRP54, SRSF5, STYX, SUPT16H, TBPL2, TDP1, TDRD9, TEP1, TGM1, TIMM9, TINF2, TMED10, TMX1, TSSK4, TTC5, TTLL5, VCPKMT, VIPAS39, VRK1, WARS, WDHD1, XRCC3, YLPM1, YY1, ZBTB1, ZBTB25, ZDHHC22, ZFHX2, ZFP36L1, ZFYVE26, ZNF219, ZNF410"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr14,GO:0005575,CC,e,cellular_component            ,401/447,510/596,2.82E-06,0,401,0.0079,"ACIN1, ACOT6, ACTR10, ADCY4, ADSSL1, AHNAK2, AHSA1, AJUBA, AK7, AKAP5, AKAP6, AKT1, ALKBH1, AMN, ANG, AP1G2, AP4S1, AP5M1, APEX1, APOPT1, AREL1, ARF6, ARG2, ARHGAP5, ARHGEF40, ARID4A, ASB2, ATG14, ATG2B, ATL1, ATP5S, ATP6V1D, ATXN3, BAG5, BATF, BAZ1A, BCL11B, BCL2L2, BCL2L2-PABPN1, BEGAIN, BRF1, BRMS1L, BTBD6, BTBD7, C14orf1, C14orf119, C14orf144, C14orf159, C14orf166, C14orf180, C14orf2, C14orf37, C14orf93, CALM1, CBLN3, CCDC176, CCDC85C, CCNB1IP1, CCNK, CDC42BPB, CDCA4, CDH24, CDKL1, CDKN3, CEBPE, CEP128, CFL2, CGRRF1, CHD8, CHMP4A, CHURC1-FNTB, CIDEB, CMTM5, CNIH1, COX16, CPNE6, CPSF2, CRIP1, CRIP2, CTSG, CYP46A1, DAAM1, DACT1, DAD1, DCAF11, DCAF5, DDHD1, DDX24, DEGS2, DHRS1, DICER1, DIO3, DLST, DNAAF2, DTD2, DYNC1H1, EAPP, EDDM3A, EDDM3B, EGLN3, EIF2B2, EIF2S1, ELMSAN1, EMC9, EML1, ERH, ERO1L, ESR2, EVL, EXOC5, FANCM, FITM1, FKBP3, FLRT2, FLVCR2, FNTB, FOS, FOXA1, FOXG1, FOXN3, FUT8, G2E3, GALC, GCH1, GEMIN2, GLRX5, GMFB, GMPR2, GNG2, GNPNAT1, GOLGA5, GPHN, GPR132, GPR135, GPR137C, GPR65, GSKIP, GSTZ1, GTF2A1, HAUS4, HECTD1, HHIPL1, HIF1A, HNRNPC, HOMEZ, HSP90AA1, HSPA2, IFI27L1, IFI27L2, IFT43, IL25, INF2, IPO4, IRF2BPL, IRF9, ISCA2, JAG2, JDP2, JKAMP, JPH4, KCNK10, KHNYN, KIAA0247, KIAA0391, KIAA0586, KIF26A, KLC1, KLHDC1, KLHDC2, KTN1, L2HGDH, LGMN, LRFN5, LRP10, LRRC16B, LTB4R, LTB4R2, LTBP2, MAP3K9, MAP4K5, MAX, MBIP, MED6, METTL17, METTL3, MGAT2, MIA2, MIPOL1, MIS18BP1, MLH3, MMP14, MNAT1, MOK, MPP5, MRPL52, MTA1, MTHFD1, NAA30, NDRG2, NDUFB1, NEDD8, NEDD8-MDP1, NEK9, NEMF, NFATC4, NFKBIA, NGDN, NID2, NIN, NKX2-1, NOP9, NPC2, NRL, NRXN3, NUBPL, NUDT14, NUMB, NYNRIN, OR11G2, OR11H6, OR4K1, OR4K13, OR4K14, OR4K17, OR4K2, OR4K5, OR4L1, OR4N2, OR4N5, OR4Q3, OR6J1, OR6S1, OSGEP, OTUB2, OXA1L, PABPN1, PACS2, PAPLN, PAPOLA, PARP2, PAX9, PCK2, PCNX, PCNXL4, PELI2, PGF, PIGH, PLD4, PLEK2, PLEKHH1, PNMA1, PNN, PNP, POLE2, POMT2, PPM1A, PPP1R13B, PPP2R3C, PPP2R5C, PPP2R5E, PPP4R4, PRKCH, PRMT5, PROX2, PRPF39, PSEN1, PSMA3, PSMA6, PSMB5, PSMC6, PSME1, PSME2, PTGDR, PTGER2, PTGR2, PTPN21, PYGL, RAB2B, RAD51B, RALGAPA1, RBM23, RBM25, RCOR1, RDH11, RDH12, REC8, REM2, RIN3, RIPK3, RNASE1, RNASE10, RNASE11, RNASE12, RNASE13, RNASE2, RNASE3, RNASE4, RNASE6, RNASE7, RNASE8, RNASE9, RNF31, RP11-1012A1.4, RP11-176H8.1, RP11-468E2.2, RP11-468E2.4, RP11-73M18.2, RPGRIP1, RPL36AL, RPS29, RPS6KA5, RPS6KL1, SALL2, SAMD4A, SCFD1, SEC23A, SEL1L, SERPINA1, SETD3, SGPP1, SIPA1L1, SIVA1, SIX1, SIX4, SLC24A4, SLC25A29, SLC25A47, SLC38A6, SLC39A2, SLC39A9, SLC7A7, SLC7A8, SLIRP, SNAPC1, SNW1, SNX6, SOS2, SPTB, SPTLC2, SPTSSA, SRP54, SRSF5, STON2, STRN3, STYX, SUPT16H, SYNE2, SYNE3, TBPL2, TDP1, TDRD9, TEP1, TEX22, TGFB3, TGM1, THTPA, TIMM9, TINF2, TM9SF1, TMED10, TMED8, TMEM121, TMEM179, TMEM229B, TMEM253, TMEM260, TMEM30B, TMEM55B, TMEM63C, TMX1, TOMM20L, TOX4, TPPP2, TRAF3, TRAPPC6B, TRMT5, TSHR, TTC5, TTC8, TTLL5, TXNDC16, UNC79, VCPKMT, VIPAS39, VRK1, VTI1B, WARS, WDHD1, XRCC3, YLPM1, YY1, ZBTB1, ZBTB25, ZC3H14, ZDHHC22, ZFHX2, ZFP36L1, ZFYVE21, ZFYVE26, ZNF219, ZNF410"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr14,GO:0110165,CC,e,cellular anatomical entity    ,392/447,497/596,3.32E-06,1,392,0.0079,"ACIN1, ACOT6, ACTR10, ADCY4, ADSSL1, AHNAK2, AHSA1, AJUBA, AK7, AKAP5, AKAP6, AKT1, ALKBH1, AMN, ANG, AP1G2, AP4S1, AP5M1, APEX1, APOPT1, AREL1, ARF6, ARG2, ARHGAP5, ARHGEF40, ARID4A, ATG14, ATG2B, ATL1, ATP5S, ATP6V1D, ATXN3, BAG5, BATF, BAZ1A, BCL11B, BCL2L2, BCL2L2-PABPN1, BEGAIN, BRF1, BRMS1L, BTBD6, BTBD7, C14orf1, C14orf119, C14orf144, C14orf159, C14orf166, C14orf180, C14orf2, C14orf37, C14orf93, CALM1, CBLN3, CCDC176, CCDC85C, CCNB1IP1, CDC42BPB, CDCA4, CDH24, CDKL1, CDKN3, CEBPE, CEP128, CFL2, CGRRF1, CHD8, CHMP4A, CIDEB, CMTM5, CNIH1, COX16, CPNE6, CPSF2, CRIP1, CRIP2, CTSG, CYP46A1, DAAM1, DACT1, DAD1, DCAF5, DDHD1, DDX24, DEGS2, DHRS1, DICER1, DIO3, DLST, DNAAF2, DTD2, DYNC1H1, EAPP, EDDM3A, EDDM3B, EGLN3, EIF2B2, EIF2S1, ELMSAN1, EMC9, EML1, ERH, ERO1L, ESR2, EVL, EXOC5, FANCM, FITM1, FKBP3, FLRT2, FLVCR2, FNTB, FOS, FOXA1, FOXG1, FOXN3, FUT8, G2E3, GALC, GCH1, GEMIN2, GLRX5, GMFB, GMPR2, GNG2, GNPNAT1, GOLGA5, GPHN, GPR132, GPR135, GPR137C, GPR65, GSKIP, GSTZ1, GTF2A1, HAUS4, HECTD1, HHIPL1, HIF1A, HNRNPC, HOMEZ, HSP90AA1, HSPA2, IFI27L1, IFI27L2, IFT43, IL25, INF2, IPO4, IRF2BPL, IRF9, ISCA2, JAG2, JDP2, JKAMP, JPH4, KCNK10, KIAA0247, KIAA0391, KIAA0586, KIF26A, KLC1, KLHDC1, KLHDC2, KTN1, L2HGDH, LGMN, LRFN5, LRP10, LRRC16B, LTB4R, LTB4R2, LTBP2, MAP4K5, MAX, MBIP, MED6, METTL17, METTL3, MGAT2, MIA2, MIPOL1, MIS18BP1, MLH3, MMP14, MNAT1, MOK, MPP5, MRPL52, MTA1, MTHFD1, NAA30, NDRG2, NDUFB1, NEDD8, NEDD8-MDP1, NEK9, NEMF, NFATC4, NFKBIA, NGDN, NID2, NIN, NKX2-1, NPC2, NRL, NRXN3, NUBPL, NUDT14, NUMB, NYNRIN, OR11G2, OR11H6, OR4K1, OR4K13, OR4K14, OR4K17, OR4K2, OR4K5, OR4L1, OR4N2, OR4N5, OR4Q3, OR6J1, OR6S1, OSGEP, OXA1L, PABPN1, PACS2, PAPLN, PAPOLA, PARP2, PAX9, PCK2, PCNX, PCNXL4, PELI2, PGF, PIGH, PLD4, PLEK2, PLEKHH1, PNMA1, PNN, PNP, POLE2, POMT2, PPM1A, PPP1R13B, PPP2R3C, PPP2R5C, PPP2R5E, PPP4R4, PRKCH, PRMT5, PROX2, PRPF39, PSEN1, PSMA3, PSMA6, PSMB5, PSMC6, PSME1, PSME2, PTGDR, PTGER2, PTGR2, PTPN21, PYGL, RAB2B, RAD51B, RALGAPA1, RBM23, RBM25, RCOR1, RDH11, RDH12, REC8, REM2, RIN3, RIPK3, RNASE1, RNASE10, RNASE11, RNASE12, RNASE13, RNASE2, RNASE3, RNASE4, RNASE6, RNASE7, RNASE8, RNASE9, RNF31, RP11-1012A1.4, RP11-176H8.1, RP11-468E2.2, RP11-73M18.2, RPGRIP1, RPL36AL, RPS29, RPS6KA5, RPS6KL1, SALL2, SAMD4A, SCFD1, SEC23A, SEL1L, SERPINA1, SETD3, SGPP1, SIPA1L1, SIVA1, SIX1, SIX4, SLC24A4, SLC25A29, SLC25A47, SLC38A6, SLC39A2, SLC39A9, SLC7A7, SLC7A8, SLIRP, SNAPC1, SNW1, SNX6, SOS2, SPTB, SPTLC2, SPTSSA, SRP54, SRSF5, STON2, STRN3, STYX, SUPT16H, SYNE2, SYNE3, TBPL2, TDP1, TDRD9, TEP1, TEX22, TGFB3, TGM1, THTPA, TIMM9, TINF2, TM9SF1, TMED10, TMED8, TMEM121, TMEM179, TMEM229B, TMEM253, TMEM260, TMEM30B, TMEM55B, TMEM63C, TMX1, TOMM20L, TOX4, TPPP2, TRAF3, TRAPPC6B, TRMT5, TSHR, TTC5, TTC8, TTLL5, TXNDC16, UNC79, VCPKMT, VIPAS39, VRK1, VTI1B, WARS, WDHD1, XRCC3, YLPM1, YY1, ZBTB1, ZBTB25, ZC3H14, ZDHHC22, ZFHX2, ZFP36L1, ZFYVE21, ZFYVE26, ZNF219, ZNF410"
Blood cell pcHi-C,Cycles C3 w/ 1+ tissue vs Links w/ 1+ tissue,chr17,GO:0009892,BP,e,negative regulation of metabolic process,105/763,118/1041,2.08E-05,4,105,0.0281,"AATF, ACADVL, ARRB2, AURKB, BCL6B, BIRC5, BPTF, BRCA1, C1QBP, CASC3, CBX1, CBX2, CBX4, CBX8, CDC6, CDK5R1, CENPV, COX11, CTD-2510F5.6, DDC8, DDX5, DHX58, EIF4A1, EZH1, FLCN, FOXJ1, GPS2, GRB7, GRIN2C, HCRT, HDAC5, HES7, HEXIM1, HEXIM2, HIC1, HOXB3, HOXB4, IGF2BP1, INCA1, INPP5K, ITGB3, LHX1, LIG3, MED1, MLX, MYBBP1A, MYO1D, NCOR1, NF1, NLE1, NME1, NME1-NME2, NME2, NOS2, NR1D1, NXN, PCGF2, PER1, PHB, PHF12, PPM1E, PPP1R1B, PPP1R27, PRKAR1A, PRKCA, PRPSAP1, PSMC3IP, PSMC5, PTRH2, RARA, RECQL5, RFFL, RNF135, RPL19, RPL23, RPL23A, RPL26, RPL27, RPL38, SERPINF1, SIRT7, SMARCE1, SMG6, SMG8, SOCS3, SOX15, SRCIN1, SREBF1, STAT3, SUPT6H, SUZ12, TBX2, THRA, TIMP2, TNRC6C, TOB1, TP53, TRIM25, UBB, UBTF, VTN, WDR81, YBX2, YWHAE, ZMYND15"
