DS,What,chr,GO,NS,enrichment,name,ratio_in_study,ratio_in_pop,p_uncorrected,depth,study_count,p_fdr_bh,study_items
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0006725,BP,e,cellular aromatic compound metabolic process,107/443,192/1117,9.61e-07,3,107,0.000232,"ACAD8, ALKBH3, AMPD3, APBB1, ARRB1, ATM, BANF1, BCL9L, BIRC2, BUD13, CARS, CAT, CHEK1, CLP1, CPSF7, CREBZF, CSTF3, CTNND1, CTR9, CWC15, DCPS, DDB1, DDX6, DLAT, DPAGT1, EED, ELP4, ETS1, FANCF, FAU, FDXACB1, FEN1, FLI1, FOLR1, GLYAT, GTF2H1, H2AFX, HMBS, HPX, HSD17B12, HSPA8, IGHMBP2, INTS4, INTS5, KAT5, KDM4D, KMT2A, LDHA, LPXN, LRTOMT, MACROD1, MED17, MRE11A, MTA2, MUS81, MYRF, NARS2, NFRKB, NPAT, NUP98, OTUB1, PATL1, PAX6, PCF11, PDE2A, PDE3B, PHOX2A, POLD3, POLD4, POLR2G, PRDM10, PRG3, PRPF19, PSMA1, PSMD13, PTS, PUS3, RAD9A, RAG1, RCOR2, REXO2, RNASEH2C, RPS13, RPS25, RPS3, RPUSD4, RRM1, RRP8, RSF1, SOX6, SSRP1, TAF10, TAF1D, TAF6L, TBRG1, THRSP, TNKS1BP1, TRIM22, TUT1, USP28, USP47, WDR74, YAP1, ZBTB16, ZBTB3, ZBTB44, ZNF143"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0044265,BP,e,cellular macromolecule catabolic process,26/443,32/1117,1.39e-06,5,26,0.000313,"ARRB1, ATM, BIRC2, CUL5, DCPS, DDB1, DDX6, FAU, FEN1, KAT5, PATL1, PSMA1, PSMD13, RNASEH2C, RPS13, RPS25, RPS3, SYVN1, TNKS1BP1, TSG101, UBE2L6, UBE4A, UBXN1, USP28, USP35, USP47"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0044260,BP,e,cellular macromolecule metabolic process,65/443,106/1117,3.19e-06,4,65,0.000649,"ALKBH3, ANKRD42, APBB1, APOA1, ARRB1, ATM, B3GAT3, BANF1, BIRC2, CAT, CHEK1, CTR9, CUL5, DCPS, DDB1, DDX6, EED, EEF1G, FANCF, FAU, FEN1, GTF2H1, H2AFX, HPX, IGHMBP2, KAT5, KMT2A, MRE11A, MRPL16, MRPL17, MRPL21, MRPL49, MTA2, MUS81, NFRKB, NUP98, OTUB1, PATL1, POLD3, POLD4, POLR2G, PPP1CA, PRMT3, PRPF19, PSMA1, PSMD13, RAD9A, RAG1, RNASEH2C, RPS13, RPS25, RPS3, RRM1, SRPR, SSRP1, SYVN1, TBRG1, TNKS1BP1, TSG101, UBE2L6, UBE4A, UBXN1, USP28, USP35, USP47"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0006807,BP,e,nitrogen compound metabolic process,180/443,366/1117,6.73e-06,2,180,0.00133,"AASDHPPT, ACAD8, ACAT1, ADAMTS15, ADAMTS8, AIP, ALG8, ALG9, ALKBH3, AMPD3, ANKRD42, APBB1, APIP, APOA1, APOA4, APOA5, APOC3, ARRB1, ASRGL1, ATM, B3GAT3, BANF1, BCL9L, BIRC2, BUD13, CARNS1, CARS, CAT, CCND1, CD44, CDC42BPG, CFL1, CHEK1, CLP1, CPSF7, CPT1A, CREBZF, CSTF3, CTNND1, CTR9, CUL5, CWC15, DCPS, DDB1, DDX6, DLAT, DPAGT1, DYNC2H1, EED, EEF1G, ELP4, ETS1, FAM111A, FANCF, FAU, FDXACB1, FEN1, FLI1, FOLR1, GANAB, GLYAT, GTF2H1, H2AFX, HMBS, HPX, HSD17B12, HSPA8, IGHMBP2, ILK, IMMP1L, INTS4, INTS5, KAT5, KDM4D, KMT2A, LDHA, LPXN, LRTOMT, MACROD1, MARK2, MED17, MMP20, MMP27, MMP7, MMP8, MRE11A, MRPL16, MRPL17, MRPL21, MRPL49, MTA2, MUS81, MYRF, NARS2, NFRKB, NPAT, NUP98, OTUB1, PATL1, PAX6, PCF11, PCSK7, PDE2A, PDE3B, PGAP2, PHOX2A, POLD3, POLD4, POLR2G, PPME1, PPP1CA, PRCP, PRDM10, PRG3, PRMT3, PRPF19, PSMA1, PSMD13, PTPN5, PTPRJ, PTS, PUS3, RAD9A, RAG1, RCOR2, REXO2, RNASEH2C, RPS13, RPS25, RPS3, RPUSD4, RRM1, RRP8, RSF1, SERPING1, SIK2, SIK3, SIRT3, SMPD1, SMTNL1, SOX6, SRPR, SSRP1, ST14, ST3GAL4, STT3A, SYVN1, TAF10, TAF1D, TAF6L, TBRG1, THRSP, TIMM10, TIMM10B, TIMM8B, TMPRSS13, TMPRSS4, TNKS1BP1, TPP1, TRAF6, TRIM22, TRIM5, TSG101, TUT1, UBASH3B, UBE2L6, UBE4A, UBXN1, UEVLD, USP28, USP35, USP47, WDR74, YAP1, ZBTB16, ZBTB3, ZBTB44, ZDHHC5, ZFP91, ZNF143"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0043170,BP,e,macromolecule metabolic process,164/443,329/1117,9.05e-06,3,164,0.00174,"AASDHPPT, ACAD8, ADAMTS15, ADAMTS8, AIP, ALG8, ALG9, ALKBH3, ANKRD42, APBB1, APOA1, APOA4, APOA5, APOC3, ARRB1, ASRGL1, ATM, B3GAT3, BANF1, BCL9L, BIRC2, BUD13, CARS, CAT, CCND1, CD44, CDC42BPG, CFL1, CHEK1, CLP1, CPSF7, CREBZF, CSTF3, CTNND1, CTR9, CUL5, CWC15, DCPS, DDB1, DDX6, DPAGT1, DYNC2H1, EED, EEF1G, ELP4, ETS1, FAM111A, FANCF, FAU, FDXACB1, FEN1, FLI1, GANAB, GTF2H1, H2AFX, HMBS, HPX, HSPA8, IGHMBP2, ILK, IMMP1L, INTS4, INTS5, KAT5, KDM4D, KMT2A, LPXN, MACROD1, MARK2, MED17, MMP20, MMP27, MMP7, MMP8, MRE11A, MRPL16, MRPL17, MRPL21, MRPL49, MTA2, MUS81, MYRF, NARS2, NFRKB, NPAT, NUP98, NXF1, OTUB1, PATL1, PAX6, PCF11, PCSK7, PGAP2, PHOX2A, POLD3, POLD4, POLR2G, PPME1, PPP1CA, PRCP, PRDM10, PRMT3, PRPF19, PSMA1, PSMD13, PTPN5, PTPRJ, PUS3, RAD9A, RAG1, RCOR2, RNASEH2C, RPS13, RPS25, RPS3, RPUSD4, RRM1, RRP8, RSF1, SERPING1, SIK2, SIK3, SIRT3, SMTNL1, SOX6, SRPR, SSRP1, ST14, ST3GAL4, STT3A, SYVN1, TAF10, TAF1D, TAF6L, TBRG1, THRSP, TIMM10, TIMM10B, TIMM8B, TMPRSS13, TMPRSS4, TNKS1BP1, TPP1, TRAF6, TRIM22, TRIM5, TSG101, TUT1, UBASH3B, UBE2L6, UBE4A, UBXN1, UEVLD, USP28, USP35, USP47, WDR74, YAP1, ZBTB16, ZBTB3, ZBTB44, ZDHHC5, ZFP91, ZNF143"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0071705,BP,e,nitrogen compound transport   ,57/443,92/1117,1.05e-05,4,57,0.00196,"AIP, APOC3, ARCN1, ARL2, ARRB1, BET1L, BUD13, C11orf73, CD3G, CFL1, COPB1, DDX25, EHD1, EXPH5, FAM160A2, FAU, FOLR1, FOLR2, HPX, KIF18A, LIN7C, MMP7, NUP160, NUP98, NXF1, PDE2A, PGAP2, PITPNM1, RAB30, RAB3IL1, RHOG, RPS13, RPS25, RPS3, SIDT2, SLC15A3, SLC17A6, SLC1A2, SLC36A4, SLC3A2, SLC43A1, SNX19, SNX32, SORL1, SRPR, STX5, SYTL2, TIMM10, TIMM10B, TIMM8B, TRIM3, TSG101, UEVLD, VPS26B, VPS37C, VPS51, ZW10"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:1901565,BP,e,organonitrogen compound catabolic process,20/443,24/1117,1.67e-05,4,20,0.00295,"ACAD8, ACAT1, AMPD3, ARRB1, ASRGL1, ATM, BIRC2, CAT, CD44, DDB1, KAT5, LRTOMT, PDE2A, PDE3B, PSMA1, PSMD13, SMPD1, SYVN1, TPP1, UBXN1"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:1901575,BP,e,organic substance catabolic process,47/443,74/1117,2.19e-05,3,47,0.00375,"ACAD8, ACAT1, AMPD3, APOA4, APOA5, APOC3, ARRB1, ASRGL1, ATM, BCO2, BIRC2, BSCL2, CAT, CD44, CPT1A, CUL5, DCPS, DDB1, DDX6, FAU, FEN1, KAT5, LDHA, LRTOMT, PAFAH1B2, PATL1, PDE2A, PDE3B, PPP1CA, PSMA1, PSMD13, RNASEH2C, RPS13, RPS25, RPS3, SMPD1, SYVN1, TNKS1BP1, TPP1, TREH, TSG101, UBE2L6, UBE4A, UBXN1, USP28, USP35, USP47"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0009057,BP,e,macromolecule catabolic process,28/443,38/1117,2.55e-05,4,28,0.00427,"ARRB1, ATM, BIRC2, CD44, CUL5, DCPS, DDB1, DDX6, FAU, FEN1, KAT5, PATL1, PSMA1, PSMD13, RNASEH2C, RPS13, RPS25, RPS3, SYVN1, TNKS1BP1, TPP1, TSG101, UBE2L6, UBE4A, UBXN1, USP28, USP35, USP47"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0019941,BP,e,modification-dependent protein catabolic process,15/443,17/1117,4.5e-05,7,15,0.00698,"ARRB1, BIRC2, CUL5, DDB1, KAT5, PSMA1, PSMD13, SYVN1, TSG101, UBE2L6, UBE4A, UBXN1, USP28, USP35, USP47"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0051603,BP,e,proteolysis involved in protein catabolic process,15/443,17/1117,4.5e-05,6,15,0.00698,"ARRB1, BIRC2, CUL5, DDB1, KAT5, PSMA1, PSMD13, SYVN1, TSG101, UBE2L6, UBE4A, UBXN1, USP28, USP35, USP47"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0043632,BP,e,modification-dependent macromolecule catabolic process,15/443,17/1117,4.5e-05,6,15,0.00698,"ARRB1, BIRC2, CUL5, DDB1, KAT5, PSMA1, PSMD13, SYVN1, TSG101, UBE2L6, UBE4A, UBXN1, USP28, USP35, USP47"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0051641,BP,e,cellular localization         ,58/443,98/1117,5.32e-05,2,58,0.00807,"AIP, APOC3, ARCN1, ARL2, ARRB1, BET1L, BUD13, C11orf73, CD3G, CFL1, COPB1, CPT1A, DDX25, DYNC2H1, EHD1, EXPH5, FAM160A2, FAU, HTATIP2, KIF18A, LAMTOR1, LIN7C, LRP4, NUP160, NUP98, NXF1, OSBPL5, PAX6, PDE2A, PGAP2, PICALM, PITPNM1, RAB30, RAB3IL1, RHOG, RPS13, RPS25, RPS3, SLC15A3, SNX19, SNX32, SORL1, SRPR, STX5, SYTL2, TBRG1, TIMM10, TIMM10B, TIMM8B, TRAPPC4, TRIM3, TSG101, UEVLD, VPS26B, VPS37C, VPS51, ZBTB16, ZW10"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0051649,BP,e,establishment of localization in cell,45/443,72/1117,5.69e-05,3,45,0.00811,"AIP, APOA1, ARCN1, ARL2, BET1L, BUD13, C11orf73, CFL1, COPB1, CPT1A, DDX25, EHD1, EXPH5, FAM160A2, FAU, HSPA8, HTATIP2, KIF18A, LAMTOR1, LIN7C, NUMA1, NUP160, NUP98, NXF1, PDE2A, PICALM, RAB30, RHOG, RPS13, RPS25, RPS3, SERPING1, SORL1, SRPR, STX5, SYTL2, TIMM10, TIMM10B, TIMM8B, TRAPPC4, TSG101, VPS26B, VPS37C, VPS51, ZW10"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0015031,BP,e,protein transport             ,43/443,68/1117,5.89e-05,6,43,0.00811,"AIP, APOC3, ARCN1, ARL2, ARRB1, BET1L, C11orf73, CD3G, CFL1, COPB1, EHD1, EXPH5, FAM160A2, FAU, KIF18A, LIN7C, NUP160, PDE2A, PGAP2, PITPNM1, RAB30, RAB3IL1, RHOG, RPS13, RPS25, RPS3, SLC15A3, SNX19, SNX32, SORL1, SRPR, STX5, SYTL2, TIMM10, TIMM10B, TIMM8B, TRIM3, TSG101, UEVLD, VPS26B, VPS37C, VPS51, ZW10"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0071840,BP,e,cellular component organization or biogenesis,109/443,209/1117,5.94e-05,2,109,0.00811,"ACAT1, APBB1, APLP2, APOA1, APOA4, APOA5, APOC3, ARAP1, ARCN1, ARFIP2, ARL2, ARRB1, ATM, BANF1, BIRC2, BIRC3, BSCL2, C11orf73, CAT, CD3E, CD3G, CD44, CDC42BPG, CEP57, CFL1, CHEK1, CLP1, COPB1, CPSF7, CPT1A, CRYAB, CTNND1, DDX6, DNHD1, DPAGT1, DSCAML1, DYNC2H1, EFEMP2, EHD1, EIF3M, ETS1, FAM160A2, FAU, FEN1, GAS2, GDPD5, H2AFX, HPS5, HSD17B12, HSPA8, IGHMBP2, ILK, INPPL1, KCTD14, KCTD21, KIF18A, KMT2A, LAMTOR1, LPXN, LRP4, MMP20, MMP7, MMP8, MOB2, MPZL3, MRE11A, MTA2, MYRF, NCAM1, NCAPD3, NUMA1, NUP160, NUP98, P2RX3, PANX1, PANX3, PATL1, PAX6, PICALM, PIK3C2A, POLD3, POLD4, PRPF19, PSMD13, PVRL1, RAB30, RHOG, RIC8A, ROBO3, RPS13, RPS25, RPS3, RRM1, RRP8, RSF1, RTN4RL2, STX5, TAF10, TAF6L, TIMM10, TMEM123, TNKS1BP1, TPP1, TRAF6, TRAPPC4, TRIM22, TRIM5, UPK2, ZW10"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0016043,BP,e,cellular component organization,109/443,209/1117,5.94e-05,3,109,0.00811,"ACAT1, APBB1, APLP2, APOA1, APOA4, APOA5, APOC3, ARAP1, ARCN1, ARFIP2, ARL2, ARRB1, ATM, BANF1, BIRC2, BIRC3, BSCL2, C11orf73, CAT, CD3E, CD3G, CD44, CDC42BPG, CEP57, CFL1, CHEK1, CLP1, COPB1, CPSF7, CPT1A, CRYAB, CTNND1, DDX6, DNHD1, DPAGT1, DSCAML1, DYNC2H1, EFEMP2, EHD1, EIF3M, ETS1, FAM160A2, FAU, FEN1, GAS2, GDPD5, H2AFX, HPS5, HSD17B12, HSPA8, IGHMBP2, ILK, INPPL1, KCTD14, KCTD21, KIF18A, KMT2A, LAMTOR1, LPXN, LRP4, MMP20, MMP7, MMP8, MOB2, MPZL3, MRE11A, MTA2, MYRF, NCAM1, NCAPD3, NUMA1, NUP160, NUP98, P2RX3, PANX1, PANX3, PATL1, PAX6, PICALM, PIK3C2A, POLD3, POLD4, PRPF19, PSMD13, PVRL1, RAB30, RHOG, RIC8A, ROBO3, RPS13, RPS25, RPS3, RRM1, RRP8, RSF1, RTN4RL2, STX5, TAF10, TAF6L, TIMM10, TMEM123, TNKS1BP1, TPP1, TRAF6, TRAPPC4, TRIM22, TRIM5, UPK2, ZW10"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0071702,BP,e,organic substance transport   ,64/443,111/1117,5.98e-05,4,64,0.00811,"AIP, APOA1, APOA4, APOA5, APOC3, ARCN1, ARL2, ARRB1, BET1L, BUD13, C11orf73, CD3G, CFL1, COPB1, CPT1A, DDX25, EHD1, EXPH5, FAM160A2, FAU, FOLR1, FOLR2, HPX, KIF18A, LIN7C, MMP7, NUP160, NUP98, NXF1, OSBP, OSBPL5, PDE2A, PGAP2, PITPNM1, RAB30, RAB3IL1, RHOG, RPS13, RPS25, RPS3, SIDT2, SLC15A3, SLC17A6, SLC1A2, SLC22A18, SLC36A4, SLC3A2, SLC43A1, SNX19, SNX32, SORL1, SRPR, STX5, SYTL2, TIMM10, TIMM10B, TIMM8B, TRIM3, TSG101, UEVLD, VPS26B, VPS37C, VPS51, ZW10"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0046907,BP,e,intracellular transport       ,39/443,60/1117,6.1e-05,4,39,0.00811,"AIP, ARCN1, ARL2, BET1L, BUD13, C11orf73, CFL1, COPB1, CPT1A, DDX25, EHD1, EXPH5, FAM160A2, FAU, HTATIP2, LAMTOR1, NUP160, NUP98, NXF1, PDE2A, PICALM, RAB30, RHOG, RPS13, RPS25, RPS3, SORL1, SRPR, STX5, SYTL2, TIMM10, TIMM10B, TIMM8B, TRAPPC4, TSG101, VPS26B, VPS37C, VPS51, ZW10"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0043933,BP,e,protein-containing complex organization,46/443,74/1117,6.59e-05,4,46,0.00847,"ACAT1, APOA1, APOA4, APOA5, APOC3, ARL2, BIRC2, BIRC3, CAT, CD3E, CD3G, CEP57, CFL1, CLP1, CPSF7, CPT1A, CRYAB, DPAGT1, EHD1, EIF3M, FAU, H2AFX, IGHMBP2, ILK, KCTD14, KCTD21, KIF18A, KMT2A, LPXN, NUP98, P2RX3, PANX1, PANX3, PICALM, PIK3C2A, PRPF19, RPS13, RPS25, RPS3, RRM1, RSF1, TAF10, TRAF6, TRIM22, TRIM5, ZW10"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0016070,BP,e,RNA metabolic process         ,71/443,126/1117,6.63e-05,6,71,0.00847,"ACAD8, APBB1, ARRB1, ATM, BCL9L, BIRC2, BUD13, CARS, CLP1, CPSF7, CREBZF, CSTF3, CTNND1, CTR9, CWC15, DCPS, DDX6, EED, ELP4, ETS1, FAU, FDXACB1, FEN1, FLI1, GTF2H1, HSPA8, IGHMBP2, INTS4, INTS5, KAT5, KDM4D, KMT2A, LPXN, MED17, MYRF, NARS2, NFRKB, NPAT, PATL1, PAX6, PCF11, PHOX2A, POLR2G, PRDM10, PRPF19, PSMA1, PSMD13, PUS3, RCOR2, RNASEH2C, RPS13, RPS25, RPS3, RPUSD4, RRP8, RSF1, SOX6, SSRP1, TAF10, TAF1D, TAF6L, THRSP, TNKS1BP1, TRIM22, TUT1, WDR74, YAP1, ZBTB16, ZBTB3, ZBTB44, ZNF143"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0006511,BP,e,ubiquitin-dependent protein catabolic process,14/443,16/1117,0.000102,8,14,0.0126,"ARRB1, BIRC2, CUL5, DDB1, KAT5, PSMA1, PSMD13, SYVN1, TSG101, UBE4A, UBXN1, USP28, USP35, USP47"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0045184,BP,e,establishment of protein localization,43/443,69/1117,0.000111,5,43,0.0133,"AIP, APOC3, ARCN1, ARL2, ARRB1, BET1L, C11orf73, CD3G, CFL1, COPB1, EHD1, EXPH5, FAM160A2, FAU, KIF18A, LIN7C, NUP160, PDE2A, PGAP2, PITPNM1, RAB30, RAB3IL1, RHOG, RPS13, RPS25, RPS3, SLC15A3, SNX19, SNX32, SORL1, SRPR, STX5, SYTL2, TIMM10, TIMM10B, TIMM8B, TRIM3, TSG101, UEVLD, VPS26B, VPS37C, VPS51, ZW10"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:1901361,BP,e,organic cyclic compound catabolic process,17/443,21/1117,0.000141,4,17,0.0165,"AMPD3, ARRB1, ATM, CAT, DCPS, DDX6, FAU, FEN1, LRTOMT, PATL1, PDE2A, PDE3B, RNASEH2C, RPS13, RPS25, RPS3, TNKS1BP1"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0019439,BP,e,aromatic compound catabolic process,17/443,21/1117,0.000141,4,17,0.0165,"AMPD3, ARRB1, ATM, CAT, DCPS, DDX6, FAU, FEN1, LRTOMT, PATL1, PDE2A, PDE3B, RNASEH2C, RPS13, RPS25, RPS3, TNKS1BP1"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0031323,BP,e,regulation of cellular metabolic process,114/443,225/1117,0.000184,4,114,0.0207,"AAMDC, ACAD8, ANKRD42, ANKRD49, APBB1, APLP2, APOA1, APOA4, APOA5, APOC3, ARAP1, ARRB1, BCL9L, BCO2, BIRC2, BIRC3, CAT, CCND1, CD3D, CD3E, CD44, CDKN1C, CDON, CHEK1, CHORDC1, CLCF1, CLPB, CNTF, CPT1A, CREBZF, CRYAB, CTNND1, CTR9, DBX1, DCPS, DDX25, DDX6, DLAT, DLG2, EED, EIF3M, EIF4G2, ELP4, ETS1, FLI1, FOXR1, GTF2H1, H2AFX, HPX, HSPA8, HTATIP2, IGHMBP2, ILK, INPPL1, KAT5, KDM4D, KMT2A, LAMTOR1, LPXN, LRP4, MED17, MED19, MOB2, MRE11A, MTA2, MYRF, NFRKB, NPAT, OTUB1, PAFAH1B2, PATL1, PAX6, PDE2A, PDHX, PHOX2A, PICALM, PPP1CA, PRDM10, PRG3, PRPF19, PRR5L, PSMA1, PSMD13, PTPRJ, RCOR2, RHOG, RNF141, RPS13, RPS3, RRP8, RSF1, SCGB1A1, SMPD1, SOX6, SSRP1, SYTL2, TAF1D, TAF6L, THRSP, TIRAP, TNKS1BP1, TRAF6, TRIM22, TRIM5, TSG101, UBASH3B, UBXN1, USP47, YAP1, ZBTB16, ZBTB3, ZBTB44, ZFP91, ZNF143"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0019222,BP,e,regulation of metabolic process,128/443,257/1117,0.000203,3,128,0.022,"AAMDC, ACAD8, ANKRD42, ANKRD49, APBB1, APLP2, APOA1, APOA4, APOA5, APOC3, ARAP1, ARRB1, ATM, BCL9L, BCO2, BIRC2, BIRC3, BSCL2, CAT, CCND1, CD3D, CD3E, CD44, CDKN1C, CDON, CHEK1, CHORDC1, CLCF1, CLP1, CLPB, CNTF, CPT1A, CREBZF, CRTAM, CRYAB, CTNND1, CTR9, DBX1, DCPS, DDX25, DDX6, DLAT, DLG2, EED, EIF3M, EIF4G2, ELP4, ETS1, FAU, FLI1, FOXR1, GTF2H1, H2AFX, HPX, HSPA8, HTATIP2, IGHMBP2, ILK, INPPL1, KAT5, KCNQ1, KDM4D, KMT2A, LAMTOR1, LDLRAD3, LPXN, LRP4, MED17, MED19, MOB2, MRE11A, MTA2, MYRF, NFRKB, NPAT, OTUB1, PAFAH1B2, PANX1, PATL1, PAX6, PDE2A, PDE3B, PDHX, PHOX2A, PICALM, PPP1CA, PRDM10, PRG3, PRMT3, PRPF19, PRR5L, PSMA1, PSMD13, PTPRJ, RAG1, RCOR2, RHOG, RNF141, RPS13, RPS25, RPS3, RRP8, RSF1, SCGB1A1, SERPING1, SMPD1, SOX6, SSRP1, SYTL2, TAF1D, TAF6L, THRSP, TIRAP, TNKS1BP1, TRAF6, TRIM22, TRIM5, TSG101, UBASH3B, UBE2L6, UBXN1, USP47, YAP1, ZBTB16, ZBTB3, ZBTB44, ZFP91, ZNF143"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0048519,BP,e,negative regulation of biological process,108/443,212/1117,0.000238,3,108,0.0255,"AAMDC, ADAMTS8, APBB1, APIP, APOA1, APOA4, APOC3, ARAP1, ARL2, ARRB1, ATM, BCL9L, BIRC2, BIRC3, BSCL2, C11orf82, CAT, CCND1, CD3E, CD44, CDKN1C, CFL1, CHEK1, CHORDC1, CLCF1, CLP1, CNTF, CREBZF, CRYAB, CTNND1, CTR9, CUL5, DCPS, DDX6, DIXDC1, DLG2, DSCAML1, EED, EI24, ETS1, FAM111A, FAU, FOXR1, FTH1, GDPD5, H2AFX, HSPA8, HTATIP2, IFITM2, ILK, INPPL1, KAT5, KCNJ11, KCNQ1, KMT2A, LPXN, LRP4, MRE11A, MTA2, NLRP6, OTUB1, PATL1, PAX6, PDE2A, PDE3B, PGAP2, PICALM, PLET1, PPP1CA, PRG3, PRMT3, PRPF19, PRR5L, PSMA1, PSMD13, PTPRJ, RAD9A, RAG1, RCOR2, ROBO4, RPS13, RPS25, RPS3, RRP8, RSF1, SCGB1A1, SERGEF, SERPING1, SMPD1, SOX6, SYTL2, SYVN1, TBRG1, TIRAP, TMEM109, TNKS1BP1, TP53I11, TPCN2, TRAF6, TSG101, UBASH3B, UBE2L6, UBXN1, USP28, USP47, YAP1, ZBTB16, ZW10"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0046700,BP,e,heterocycle catabolic process ,16/443,20/1117,0.000288,4,16,0.0293,"AMPD3, ARRB1, ATM, CAT, DCPS, DDX6, FAU, FEN1, PATL1, PDE2A, PDE3B, RNASEH2C, RPS13, RPS25, RPS3, TNKS1BP1"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0044270,BP,e,cellular nitrogen compound catabolic process,16/443,20/1117,0.000288,4,16,0.0293,"AMPD3, ARRB1, ATM, CAT, DCPS, DDX6, FAU, FEN1, PATL1, PDE2A, PDE3B, RNASEH2C, RPS13, RPS25, RPS3, TNKS1BP1"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0034655,BP,e,nucleobase-containing compound catabolic process,16/443,20/1117,0.000288,5,16,0.0293,"AMPD3, ARRB1, ATM, CAT, DCPS, DDX6, FAU, FEN1, PATL1, PDE2A, PDE3B, RNASEH2C, RPS13, RPS25, RPS3, TNKS1BP1"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr11,GO:0048523,BP,e,negative regulation of cellular process,97/443,188/1117,0.00031,4,97,0.0306,"AAMDC, ADAMTS8, APBB1, APIP, APOA1, APOA4, APOC3, ARAP1, ARRB1, ATM, BCL9L, BIRC2, BIRC3, C11orf82, CAT, CCND1, CD3E, CD44, CDKN1C, CFL1, CHEK1, CHORDC1, CLCF1, CNTF, CREBZF, CRYAB, CTNND1, CTR9, CUL5, DCPS, DDX6, DIXDC1, DLG2, DSCAML1, EED, EI24, ETS1, FOXR1, FTH1, GDPD5, H2AFX, HSPA8, HTATIP2, ILK, INPPL1, KAT5, KCNJ11, KCNQ1, KMT2A, LPXN, LRP4, MRE11A, MTA2, NLRP6, OTUB1, PATL1, PAX6, PDE2A, PDE3B, PGAP2, PICALM, PLET1, PPP1CA, PRG3, PRPF19, PRR5L, PSMA1, PSMD13, PTPRJ, RAD9A, RAG1, RCOR2, ROBO4, RPS13, RPS3, RSF1, SCGB1A1, SERGEF, SMPD1, SOX6, SYTL2, SYVN1, TBRG1, TIRAP, TMEM109, TNKS1BP1, TP53I11, TPCN2, TRAF6, TSG101, UBASH3B, UBXN1, USP28, USP47, YAP1, ZBTB16, ZW10"
