DS,What,chr,GO,NS,enrichment,name,ratio_in_study,ratio_in_pop,p_uncorrected,depth,study_count,p_fdr_bh,study_items
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr17,GO:0009890,BP,e,negative regulation of biosynthetic process,53/605,63/1018,1.74e-05,5,53,0.0105,"AATF, ACADVL, AURKB, BCL6B, BPTF, CBX1, CBX2, CBX4, CBX8, CDK5R1, DDX5, EIF4A1, EZH1, FOXJ1, GPS2, GRB7, HDAC5, HES7, HEXIM1, HEXIM2, HIC1, HOXB3, HOXB4, IGF2BP1, INPP5K, LHX1, MED1, MLX, MYBBP1A, NCOR1, NR1D1, PCGF2, PER1, PHB, PHF12, PSMC3IP, PSMC5, RARA, RECQL5, SIRT7, SMARCE1, SOX15, SREBF1, STAT3, SUZ12, TBX2, THRA, TNRC6C, TOB1, TP53, UBB, YBX2, ZMYND15"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr17,GO:0031327,BP,e,negative regulation of cellular biosynthetic process,53/605,63/1018,1.74e-05,6,53,0.0105,"AATF, ACADVL, AURKB, BCL6B, BPTF, CBX1, CBX2, CBX4, CBX8, CDK5R1, DDX5, EIF4A1, EZH1, FOXJ1, GPS2, GRB7, HDAC5, HES7, HEXIM1, HEXIM2, HIC1, HOXB3, HOXB4, IGF2BP1, INPP5K, LHX1, MED1, MLX, MYBBP1A, NCOR1, NR1D1, PCGF2, PER1, PHB, PHF12, PSMC3IP, PSMC5, RARA, RECQL5, SIRT7, SMARCE1, SOX15, SREBF1, STAT3, SUZ12, TBX2, THRA, TNRC6C, TOB1, TP53, UBB, YBX2, ZMYND15"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr17,GO:0010558,BP,e,negative regulation of macromolecule biosynthetic process,52/605,62/1018,2.68e-05,6,52,0.0136,"AATF, AURKB, BCL6B, BPTF, CBX1, CBX2, CBX4, CBX8, CDK5R1, DDX5, EIF4A1, EZH1, FOXJ1, GPS2, GRB7, HDAC5, HES7, HEXIM1, HEXIM2, HIC1, HOXB3, HOXB4, IGF2BP1, INPP5K, LHX1, MED1, MLX, MYBBP1A, NCOR1, NR1D1, PCGF2, PER1, PHB, PHF12, PSMC3IP, PSMC5, RARA, RECQL5, SIRT7, SMARCE1, SOX15, SREBF1, STAT3, SUZ12, TBX2, THRA, TNRC6C, TOB1, TP53, UBB, YBX2, ZMYND15"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr17,GO:0080090,BP,e,regulation of primary metabolic process,176/605,249/1018,3.05e-05,4,176,0.0144,"AATF, ACADVL, ALYREF, ARRB2, ATXN7L3, AURKB, BCL6B, BPTF, CAMTA2, CASC3, CBX1, CBX2, CBX4, CBX8, CCR7, CDC6, CDK12, CDK5R1, CDK5RAP3, CHD3, COA3, COL1A1, COPRS, COX11, CRK, CSF3, CSNK1D, CTC1, CTD-2132N18.3, CTDNEP1, DDC8, DDX5, DLG4, DLX3, DLX4, DPH1, DVL2, EIF4A1, EIF5A, ELP5, ERBB2, ERN1, EZH1, FOXJ1, FOXK2, GAS7, GGA3, GH1, GPS2, GRB7, GRIN2C, HCRT, HDAC5, HES7, HEXIM1, HEXIM2, HGS, HIC1, HLF, HOXB13, HOXB3, HOXB4, HOXB5, HOXB6, HOXB7, HOXB8, HOXB9, IGF2BP1, IGFBP4, IKZF3, INCA1, INPP5K, ITGB3, JUP, KAT2A, KAT7, KCNH4, KDM6B, KPNA2, KRBA2, LHX1, LIG3, MAFG, MAP2K3, MAP2K4, MBTD1, MED1, MED24, MLLT6, MLX, MNT, MRPL12, MYBBP1A, NCOR1, NEUROD2, NLE1, NLK, NLRP1, NME1-NME2, NME2, NOS2, NR1D1, NSRP1, NXN, PCGF2, PDK2, PER1, PFN1, PHB, PHF12, PIK3R5, POLR2A, PPM1E, PPP1R1B, PPP1R9B, PRKAR1A, PRKCA, PSMB6, PSMC3IP, PSMC5, PSMD11, PSMD3, PSME3, PTRF, RAI1, RARA, RECQL5, RFFL, RPS6KB1, RUNDC3A, SAP30BP, SEPT4, SERPINF1, SIRT7, SKAP1, SLC9A3R1, SMARCD2, SMARCE1, SOX15, SP2, SPHK1, SRCIN1, SREBF1, STAT3, STAT5A, STAT5B, STRA13, STRADA, SUMO2, SUPT6H, SUZ12, TACO1, TBX2, THRA, TIMP2, TNFSF13, TNRC6C, TOB1, TOM1L1, TOP2A, TP53, TRAF4, TRIM25, TRIM37, UBB, UBTF, USP22, VEZF1, WRAP53, YBX2, YWHAE, ZBTB4, ZMYND15, ZNF18, ZNF207, ZNHIT3"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr17,GO:0051171,BP,e,regulation of nitrogen compound metabolic process,172/605,243/1018,3.61e-05,4,172,0.0159,"AATF, ALYREF, ARRB2, ATXN7L3, AURKB, BCL6B, BPTF, CAMTA2, CASC3, CBX1, CBX2, CBX4, CBX8, CCR7, CDC6, CDK12, CDK5R1, CDK5RAP3, CHD3, COA3, COL1A1, COPRS, CRK, CSF3, CSNK1D, CTC1, CTD-2132N18.3, DDC8, DDX5, DLG4, DLX3, DLX4, DPH1, DVL2, EIF4A1, EIF5A, ELP5, ERBB2, ERN1, EZH1, FOXJ1, FOXK2, GAS7, GGA3, GH1, GPS2, GRB7, GRIN2C, HCRT, HDAC5, HES7, HEXIM1, HEXIM2, HGS, HIC1, HLF, HOXB13, HOXB3, HOXB4, HOXB5, HOXB6, HOXB7, HOXB8, HOXB9, IGF2BP1, IKZF3, INCA1, INPP5K, ITGB3, JUP, KAT2A, KAT7, KCNH4, KDM6B, KPNA2, KRBA2, LHX1, LIG3, MAFG, MAP2K3, MAP2K4, MBTD1, MED1, MED24, MLLT6, MLX, MNT, MRPL12, MYBBP1A, NCOR1, NEUROD2, NLE1, NLK, NLRP1, NME1-NME2, NME2, NOS2, NR1D1, NSRP1, NXN, PCGF2, PDK2, PER1, PFN1, PHB, PHF12, PIK3R5, POLR2A, PPM1E, PPP1R1B, PPP1R9B, PRKAR1A, PRKCA, PSMB6, PSMC3IP, PSMC5, PSMD11, PSMD3, PSME3, PTRF, RAI1, RARA, RECQL5, RFFL, RPS6KB1, RUNDC3A, SAP30BP, SEPT4, SERPINF1, SIRT7, SKAP1, SLC9A3R1, SMARCD2, SMARCE1, SOX15, SP2, SPHK1, SRCIN1, SREBF1, STAT3, STAT5A, STAT5B, STRA13, STRADA, SUMO2, SUPT6H, SUZ12, TACO1, TBX2, THRA, TIMP2, TNFSF13, TNRC6C, TOB1, TOM1L1, TOP2A, TP53, TRAF4, TRIM25, TRIM37, UBB, UBTF, USP22, VEZF1, WRAP53, YBX2, YWHAE, ZBTB4, ZMYND15, ZNF18, ZNF207, ZNHIT3"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr17,GO:0045934,BP,e,negative regulation of nucleobase-containing compound metabolic process,51/605,61/1018,4.14e-05,6,51,0.0171,"AURKB, BCL6B, BPTF, CBX1, CBX2, CBX4, CBX8, CDC6, CDK5R1, DDX5, EZH1, FOXJ1, GPS2, HCRT, HDAC5, HES7, HEXIM1, HEXIM2, HIC1, HOXB3, HOXB4, IGF2BP1, INPP5K, LHX1, LIG3, MED1, MLX, MYBBP1A, NCOR1, NR1D1, PCGF2, PER1, PHB, PHF12, PSMC3IP, PSMC5, RARA, RECQL5, SIRT7, SMARCE1, SOX15, SREBF1, STAT3, SUZ12, TBX2, THRA, TOB1, TP53, UBB, YBX2, ZMYND15"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr17,GO:0043226,CC,e,organelle                     ,339/605,506/1018,1.18e-06,2,339,0.00259,"AATF, AATK, ACACA, ACADVL, ACLY, ACTG1, AFMID, AIPL1, AKAP1, AKAP10, ALDH3A1, ALDH3A2, ALDOC, ALOX15, ALOX15B, ALYREF, ANKFY1, ARL4D, ARRB2, ARSG, ASPA, ASPSCR1, ATP5G1, ATP6V0A1, ATPAF2, AURKB, AZI1, BCAS3, BCL6B, BECN1, BLMH, BPTF, C17orf70, C17orf89, CACNB1, CAMTA2, CASC3, CBX1, CBX2, CBX4, CBX8, CCDC47, CD79B, CDC27, CDC6, CDK12, CDK5R1, CENPV, CHD3, CISD3, CLTC, CNP, CNTROB, COA3, COG1, COPRS, COPZ2, CORO6, COX10, COX11, CRHR1, CRK, CSNK1D, CTC1, CTD-2132N18.3, DDC8, DDX42, DDX5, DDX52, DHRS7B, DHX8, DLG4, DLX3, DLX4, DNAJC7, DOC2B, DPH1, DVL2, EIF5A, ELAC2, ELP5, ENTHD2, EPN2, EPN3, ERBB2, ERN1, EVPL, EZH1, FAM101B, FAM64A, FASN, FBF1, FDXR, FLOT2, FMNL1, FOXJ1, FOXK2, FSCN2, FTSJ3, GABARAP, GAS2L2, GEMIN4, GGA3, GGNBP2, GHDC, GLOD4, GOSR1, GPRC5C, GPS2, GRB2, GRB7, GRIN2C, H3F3B, HCRT, HDAC5, HES7, HEXDC, HEXIM1, HEXIM2, HGS, HIC1, HLF, HN1, HOXB13, HOXB3, HOXB4, HOXB5, HOXB6, HOXB7, HOXB8, HOXB9, HSPB9, ICT1, IFI35, IGF2BP1, IKZF3, INCA1, INPP5K, ITGB3, JUP, KANSL1, KAT2A, KAT7, KDM6B, KIF19, KIF1C, KPNA2, KRT13, KRT36, LASP1, LGALS3BP, LHX1, LIG3, LLGL2, LSMD1, LUC7L3, MAFG, MAP2K4, MAPT, MBTD1, MED1, MED24, MINK1, MLLT6, MLX, MNT, MPDU1, MRM1, MRPL10, MRPL12, MRPL38, MRPS23, MRPS7, MSL1, MYBBP1A, MYH10, MYH3, MYO15B, MYO18A, MYO1C, MYO1D, NAGLU, NCOR1, NDEL1, NEK8, NEURL4, NEUROD2, NLE1, NLK, NLRP1, NME1, NME1-NME2, NME2, NOS2, NPEPPS, NR1D1, NSRP1, NT5C, NUP85, NXN, ODF4, ORMDL3, OVCA2, PCGF2, PDK2, PER1, PEX12, PFN1, PHB, PHF12, PIGL, PIK3R5, PIPOX, PLEKHH3, POLDIP2, POLG2, POLR2A, PPM1E, PPP1R1B, PPP1R9B, PRAC1, PRKCA, PSMB6, PSMC3IP, PSMC5, PTRF, PTRH2, PYCR1, RAB11FIP4, RAB34, RAB37, RAB5C, RAD51C, RAD51D, RAI1, RARA, RECQL5, RFFL, RHOT1, RNMTL1, RPA1, RPH3AL, RPL19, RPL23, RPL23A, RPL27, RPS6KB1, SAP30BP, SCO1, SECTM1, SENP3, SEPT4, SERPINF1, SEZ6, SGCA, SIRT7, SKAP1, SLC16A3, SLC25A10, SLC25A11, SLC25A35, SLC25A39, SLC2A4, SLC35B1, SLC47A1, SLC9A3R1, SLFN11, SLFN5, SMARCE1, SMG6, SNX11, SOX15, SP2, SPAG5, SPAG7, SPAG9, SPECC1, SPHK1, SPOP, SRCIN1, SREBF1, SRP68, SRSF1, SSH2, STARD3, STAT3, STAT5A, STAT5B, STH, STRA13, STRADA, STXBP4, SUMO2, SUPT6H, SUZ12, SYNRG, TACO1, TBX2, TEN1, TEX14, TEX19, THRA, TIAF1, TIMM22, TMEM11, TMEM97, TOM1L1, TOP2A, TP53, TRAF4, TRAPPC1, TRIM25, TRIM37, TRIM47, TRPV2, TSEN54, TSR1, TTC19, TUBD1, TUBG1, TUBG2, UBTF, USP36, UTP6, VAMP2, VEZF1, VMP1, WIPF2, WIPI1, WRAP53, YBX2, YPEL2, YWHAE, ZBTB4, ZMYND15, ZNF18, ZNF207, ZNF830, ZPBP2"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr17,GO:0043229,CC,e,intracellular organelle       ,332/605,496/1018,2.22e-06,3,332,0.00347,"AATF, AATK, ACACA, ACADVL, ACLY, ACTG1, AFMID, AIPL1, AKAP1, AKAP10, ALDH3A1, ALDH3A2, ALDOC, ALOX15, ALOX15B, ALYREF, ANKFY1, ARL4D, ARRB2, ARSG, ASPA, ASPSCR1, ATP5G1, ATP6V0A1, ATPAF2, AURKB, AZI1, BCAS3, BCL6B, BECN1, BLMH, BPTF, C17orf70, C17orf89, CACNB1, CAMTA2, CASC3, CBX1, CBX2, CBX4, CBX8, CCDC47, CD79B, CDC27, CDC6, CDK12, CDK5R1, CENPV, CHD3, CISD3, CLTC, CNP, CNTROB, COA3, COG1, COPRS, COPZ2, CORO6, COX10, COX11, CRHR1, CRK, CSNK1D, CTC1, CTD-2132N18.3, DDX42, DDX5, DDX52, DHRS7B, DHX8, DLG4, DLX3, DLX4, DNAJC7, DOC2B, DPH1, DVL2, EIF5A, ELAC2, ELP5, ENTHD2, EPN2, EPN3, ERBB2, ERN1, EVPL, EZH1, FAM101B, FAM64A, FASN, FBF1, FDXR, FLOT2, FMNL1, FOXJ1, FOXK2, FSCN2, FTSJ3, GABARAP, GAS2L2, GEMIN4, GGA3, GGNBP2, GHDC, GLOD4, GOSR1, GPRC5C, GPS2, GRB2, GRB7, H3F3B, HCRT, HDAC5, HES7, HEXDC, HEXIM1, HEXIM2, HGS, HIC1, HLF, HN1, HOXB13, HOXB3, HOXB4, HOXB5, HOXB6, HOXB7, HOXB8, HOXB9, HSPB9, ICT1, IFI35, IGF2BP1, IKZF3, INCA1, INPP5K, ITGB3, JUP, KANSL1, KAT2A, KAT7, KDM6B, KIF1C, KPNA2, KRT36, LASP1, LHX1, LIG3, LLGL2, LSMD1, LUC7L3, MAFG, MAP2K4, MAPT, MBTD1, MED1, MED24, MINK1, MLLT6, MLX, MNT, MPDU1, MRM1, MRPL10, MRPL12, MRPL38, MRPS23, MRPS7, MSL1, MYBBP1A, MYH10, MYH3, MYO15B, MYO18A, MYO1C, MYO1D, NAGLU, NCOR1, NDEL1, NEK8, NEURL4, NEUROD2, NLE1, NLK, NLRP1, NME1, NME1-NME2, NME2, NOS2, NPEPPS, NR1D1, NSRP1, NT5C, NUP85, NXN, ORMDL3, OVCA2, PCGF2, PDK2, PER1, PEX12, PFN1, PHB, PHF12, PIGL, PIK3R5, PIPOX, PLEKHH3, POLDIP2, POLG2, POLR2A, PPM1E, PPP1R1B, PPP1R9B, PRAC1, PRKCA, PSMB6, PSMC3IP, PSMC5, PTRF, PTRH2, PYCR1, RAB11FIP4, RAB34, RAB37, RAB5C, RAD51C, RAD51D, RAI1, RARA, RECQL5, RFFL, RHOT1, RNMTL1, RPA1, RPH3AL, RPL19, RPL23, RPL23A, RPL27, RPS6KB1, SAP30BP, SCO1, SECTM1, SENP3, SEPT4, SERPINF1, SEZ6, SGCA, SIRT7, SKAP1, SLC16A3, SLC25A10, SLC25A11, SLC25A35, SLC25A39, SLC2A4, SLC35B1, SLC9A3R1, SLFN11, SLFN5, SMARCE1, SMG6, SNX11, SOX15, SP2, SPAG5, SPAG7, SPAG9, SPECC1, SPHK1, SPOP, SRCIN1, SREBF1, SRP68, SRSF1, SSH2, STARD3, STAT3, STAT5A, STAT5B, STH, STRA13, STRADA, STXBP4, SUMO2, SUPT6H, SUZ12, SYNRG, TACO1, TBX2, TEN1, TEX14, TEX19, THRA, TIAF1, TIMM22, TMEM11, TMEM97, TOM1L1, TOP2A, TP53, TRAF4, TRAPPC1, TRIM25, TRIM37, TRIM47, TRPV2, TSEN54, TSR1, TTC19, TUBD1, TUBG1, TUBG2, UBTF, USP36, UTP6, VAMP2, VEZF1, VMP1, WIPF2, WIPI1, WRAP53, YBX2, YPEL2, YWHAE, ZBTB4, ZMYND15, ZNF18, ZNF207, ZNF830, ZPBP2"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr17,GO:0043227,CC,e,membrane-bounded organelle    ,300/605,446/1018,6.72e-06,3,300,0.00608,"AATF, AATK, ACACA, ACADVL, ACLY, ACTG1, AFMID, AIPL1, AKAP1, AKAP10, ALDH3A1, ALDH3A2, ALDOC, ALOX15, ALOX15B, ALYREF, ANKFY1, ARL4D, ARRB2, ARSG, ASPA, ASPSCR1, ATP5G1, ATP6V0A1, ATPAF2, AURKB, AZI1, BCAS3, BCL6B, BECN1, BLMH, BPTF, C17orf70, C17orf89, CACNB1, CAMTA2, CASC3, CBX1, CBX2, CBX4, CBX8, CCDC47, CD79B, CDC27, CDC6, CDK12, CDK5R1, CENPV, CHD3, CISD3, CLTC, CNP, COA3, COG1, COPRS, COPZ2, COX10, COX11, CRHR1, CRK, CSNK1D, CTC1, CTD-2132N18.3, DDC8, DDX42, DDX5, DHRS7B, DHX8, DLG4, DLX3, DLX4, DNAJC7, DOC2B, DPH1, DVL2, EIF5A, ELAC2, ELP5, ENTHD2, EPN2, EPN3, ERBB2, ERN1, EZH1, FASN, FDXR, FLOT2, FMNL1, FOXJ1, FOXK2, FTSJ3, GABARAP, GGA3, GGNBP2, GHDC, GLOD4, GOSR1, GPRC5C, GPS2, GRB2, H3F3B, HCRT, HDAC5, HES7, HEXDC, HEXIM1, HEXIM2, HGS, HIC1, HLF, HN1, HOXB13, HOXB3, HOXB4, HOXB5, HOXB6, HOXB7, HOXB8, HOXB9, HSPB9, ICT1, IFI35, IGF2BP1, IKZF3, INCA1, INPP5K, ITGB3, JUP, KANSL1, KAT2A, KAT7, KDM6B, KIF19, KIF1C, KPNA2, KRT13, LGALS3BP, LHX1, LIG3, LLGL2, LSMD1, LUC7L3, MAFG, MAP2K4, MAPT, MBTD1, MED1, MED24, MINK1, MLLT6, MLX, MNT, MPDU1, MRM1, MRPL10, MRPL12, MRPL38, MRPS23, MRPS7, MSL1, MYBBP1A, MYO18A, MYO1C, MYO1D, NAGLU, NCOR1, NEK8, NEUROD2, NLE1, NLK, NLRP1, NME1, NME1-NME2, NME2, NOS2, NPEPPS, NR1D1, NSRP1, NT5C, NXN, ODF4, ORMDL3, OVCA2, PCGF2, PDK2, PER1, PEX12, PFN1, PHB, PHF12, PIGL, PIK3R5, PIPOX, POLDIP2, POLG2, POLR2A, PPM1E, PPP1R1B, PRAC1, PRKCA, PSMB6, PSMC3IP, PSMC5, PTRF, PTRH2, PYCR1, RAB11FIP4, RAB34, RAB37, RAB5C, RAD51C, RAD51D, RAI1, RARA, RECQL5, RFFL, RHOT1, RNMTL1, RPA1, RPH3AL, RPL23A, RPS6KB1, SAP30BP, SCO1, SECTM1, SEPT4, SERPINF1, SEZ6, SKAP1, SLC25A10, SLC25A11, SLC25A35, SLC25A39, SLC2A4, SLC35B1, SLC47A1, SLC9A3R1, SLFN11, SLFN5, SMARCE1, SMG6, SNX11, SOX15, SP2, SPAG5, SPAG7, SPAG9, SPECC1, SPHK1, SPOP, SREBF1, SRP68, SRSF1, STARD3, STAT3, STAT5A, STAT5B, STH, STRADA, STXBP4, SUMO2, SUPT6H, SUZ12, SYNRG, TACO1, TBX2, TEN1, TEX19, THRA, TIAF1, TIMM22, TMEM11, TMEM97, TOM1L1, TOP2A, TP53, TRAF4, TRAPPC1, TRIM25, TRIM37, TRIM47, TRPV2, TSR1, TTC19, TUBD1, TUBG1, UBTF, VAMP2, VEZF1, VMP1, WIPI1, WRAP53, YBX2, YWHAE, ZBTB4, ZMYND15, ZNF18, ZNF207, ZNF830, ZPBP2"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr17,GO:0043231,CC,e,intracellular membrane-bounded organelle,291/605,434/1018,2.02e-05,4,291,0.0112,"AATF, AATK, ACACA, ACADVL, ACLY, AFMID, AIPL1, AKAP1, AKAP10, ALDH3A1, ALDH3A2, ALDOC, ALOX15, ALOX15B, ALYREF, ANKFY1, ARL4D, ARRB2, ARSG, ASPA, ASPSCR1, ATP5G1, ATP6V0A1, ATPAF2, AURKB, AZI1, BCAS3, BCL6B, BECN1, BLMH, BPTF, C17orf70, C17orf89, CACNB1, CAMTA2, CASC3, CBX1, CBX2, CBX4, CBX8, CCDC47, CD79B, CDC27, CDC6, CDK12, CDK5R1, CENPV, CHD3, CISD3, CLTC, CNP, COA3, COG1, COPRS, COPZ2, COX10, COX11, CRHR1, CRK, CSNK1D, CTC1, CTD-2132N18.3, DDX42, DDX5, DHRS7B, DHX8, DLG4, DLX3, DLX4, DNAJC7, DOC2B, DPH1, DVL2, EIF5A, ELAC2, ELP5, ENTHD2, EPN2, EPN3, ERBB2, ERN1, EZH1, FASN, FDXR, FLOT2, FMNL1, FOXJ1, FOXK2, FTSJ3, GABARAP, GGA3, GGNBP2, GHDC, GLOD4, GOSR1, GPRC5C, GPS2, GRB2, H3F3B, HCRT, HDAC5, HES7, HEXDC, HEXIM1, HEXIM2, HGS, HIC1, HLF, HN1, HOXB13, HOXB3, HOXB4, HOXB5, HOXB6, HOXB7, HOXB8, HOXB9, HSPB9, ICT1, IFI35, IGF2BP1, IKZF3, INCA1, INPP5K, ITGB3, JUP, KANSL1, KAT2A, KAT7, KDM6B, KIF1C, KPNA2, LHX1, LIG3, LLGL2, LSMD1, LUC7L3, MAFG, MAP2K4, MAPT, MBTD1, MED1, MED24, MINK1, MLLT6, MLX, MNT, MPDU1, MRM1, MRPL10, MRPL12, MRPL38, MRPS23, MRPS7, MSL1, MYBBP1A, MYO18A, MYO1C, MYO1D, NAGLU, NCOR1, NEUROD2, NLE1, NLK, NLRP1, NME1, NME1-NME2, NME2, NOS2, NPEPPS, NR1D1, NSRP1, NT5C, NXN, ORMDL3, OVCA2, PCGF2, PDK2, PER1, PEX12, PFN1, PHB, PHF12, PIGL, PIK3R5, PIPOX, POLDIP2, POLG2, POLR2A, PPM1E, PPP1R1B, PRAC1, PRKCA, PSMB6, PSMC3IP, PSMC5, PTRF, PTRH2, PYCR1, RAB11FIP4, RAB34, RAB37, RAB5C, RAD51C, RAD51D, RAI1, RARA, RECQL5, RFFL, RHOT1, RNMTL1, RPA1, RPH3AL, RPL23A, RPS6KB1, SAP30BP, SCO1, SECTM1, SEPT4, SERPINF1, SEZ6, SKAP1, SLC25A10, SLC25A11, SLC25A35, SLC25A39, SLC2A4, SLC35B1, SLC9A3R1, SLFN11, SLFN5, SMARCE1, SMG6, SNX11, SOX15, SP2, SPAG5, SPAG7, SPAG9, SPECC1, SPHK1, SPOP, SREBF1, SRP68, SRSF1, STARD3, STAT3, STAT5A, STAT5B, STH, STRADA, STXBP4, SUMO2, SUPT6H, SUZ12, SYNRG, TACO1, TBX2, TEN1, TEX19, THRA, TIAF1, TIMM22, TMEM11, TMEM97, TOM1L1, TOP2A, TP53, TRAF4, TRAPPC1, TRIM25, TRIM37, TRIM47, TRPV2, TSR1, TTC19, TUBD1, UBTF, VAMP2, VEZF1, VMP1, WIPI1, WRAP53, YBX2, YWHAE, ZBTB4, ZMYND15, ZNF18, ZNF207, ZNF830, ZPBP2"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr17,GO:0005634,CC,e,nucleus                       ,192/605,276/1018,5.65e-05,5,192,0.022,"AATF, ACLY, AFMID, AIPL1, ALOX15, ALOX15B, ALYREF, ARL4D, ARRB2, ASPA, ASPSCR1, ATP6V0A1, AURKB, BCAS3, BCL6B, BECN1, BLMH, BPTF, C17orf70, CAMTA2, CASC3, CBX1, CBX2, CBX4, CBX8, CD79B, CDC27, CDC6, CDK12, CDK5R1, CENPV, CHD3, COPRS, CRK, CSNK1D, CTC1, CTD-2132N18.3, DDX42, DDX5, DHX8, DLX3, DLX4, DNAJC7, DPH1, DVL2, EIF5A, ELAC2, ELP5, EPN3, ERBB2, EZH1, FOXJ1, FOXK2, FTSJ3, GGNBP2, GPS2, GRB2, H3F3B, HDAC5, HES7, HEXDC, HEXIM1, HEXIM2, HIC1, HLF, HN1, HOXB13, HOXB3, HOXB4, HOXB5, HOXB6, HOXB7, HOXB8, HOXB9, HSPB9, IFI35, IGF2BP1, IKZF3, INCA1, INPP5K, ITGB3, JUP, KANSL1, KAT2A, KAT7, KDM6B, KPNA2, LHX1, LIG3, LSMD1, LUC7L3, MAFG, MAP2K4, MAPT, MBTD1, MED1, MED24, MLLT6, MLX, MNT, MSL1, MYBBP1A, MYO1C, NCOR1, NEUROD2, NLE1, NLK, NLRP1, NME1, NME1-NME2, NME2, NOS2, NPEPPS, NR1D1, NSRP1, NT5C, NXN, OVCA2, PCGF2, PDK2, PER1, PFN1, PHB, PHF12, PIK3R5, POLR2A, PPM1E, PPP1R1B, PRAC1, PRKCA, PSMB6, PSMC3IP, PSMC5, PTRF, RAB34, RAB37, RAB5C, RAD51C, RAD51D, RAI1, RARA, RECQL5, RPA1, RPL23A, RPS6KB1, SAP30BP, SEPT4, SKAP1, SLC25A10, SLFN11, SLFN5, SMARCE1, SMG6, SOX15, SP2, SPAG5, SPAG7, SPECC1, SPHK1, SPOP, SREBF1, SRSF1, STAT3, STAT5A, STAT5B, STH, STRADA, STXBP4, SUMO2, SUPT6H, SUZ12, TBX2, TEN1, TEX19, THRA, TIAF1, TOP2A, TP53, TRAF4, TRIM25, TRIM47, TSR1, TUBD1, UBTF, VEZF1, WRAP53, YBX2, ZBTB4, ZMYND15, ZNF18, ZNF207, ZNF830"
